Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
FMS       ;PE 210/2018;PREGÃO ELETRÔNICO;LOCAÇÃO DE EQUIPAMENTOS DE LABORATÓRIO TOTALMENTE AUTOMATIZADOS E INTEGRADOS, COM FORNECIMENTO DE INSUSMOS PARA A REALIZAÇÃO DE TESTES DE IDENTIFICAÇÃO AUTOMATIZADAS PARA BACTÉRIAS E ANTIBIOGRAMA EM CARTÕES OU PAINÉIS, COMPREENDENDO A ASSISTÊNCIA TÉCNICA-CIENTÍFICA E MANUTENÇÃO PREVENTIVA E CORRETIVA PARA O LABORATÓRIO MUNICIPAL DE CURITIBA DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 1.079.390,00;Rua Primo Lourenço Tosin, 1021 Novo Mundo Laboratório Municipal;04/02/2019;01-120483/2018;29/03/2019;28/03/2023;Confirmado Vencedor
FMS       ;IN 33/2018;Inexigibilidade de Licitação;CONTRATO DE PRESTAÇÃO DE SERVIÇOS AO SISTEMA ÚNICO DE SAÚDE COM A IMPLANTAÇÃO DE UMA UNIDADE DE CUIDADOS CONTINUADOS A INTEGRADOS PARA USUÁRIOS DE SUS ENGRESSOS DOS HOSPITAIS GERAIS DA REDE SUS, RETAGUARDA À REDE DE ATENÇÃO ÀS URGÊNCIAS E DEMAIS REDES DE ATENÇÃO A SAÚDE.;R$ 2.400.504,00;RUA FRANCISCO TORRES, 830 - SMS;21/12/2018;01-140831/2018;02/01/2019;01/01/2021;Confirmado Vencedor
FMS       ;IN 1/2019;Inexigibilidade de Licitação;CONTRATO PARA EXECUÇÃO DE SERVIÇOS DE ATENÇÃO À SAÚDE A NÍVEL AMBULATORIAL E HOSPITALAR AOS USUÁRIOS DO SUS/CURITIBA, COM O HOSPITAL UNIVERSITÁRIO EVANGÉLICO MACKENZIE - HUEM.;R$ 131.500.003,56;RUA FRANCISCO TORRES, 830 - SMS;18/01/2019;01-143500/2018;18/01/2019;17/02/2022;Confirmado Vencedor
FMS       ;PE 7/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO MÉDICO-HOSPITALAR (SOLUÇÕES), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 662.940,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;06/02/2019;01-005818/2019;05/02/2019;29/04/2020;Parcialmente Empenhado
FMS       ;PE 10/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 6.423.999,25;Rua João Bettega, 3350 CIC - Almoxarifado da SMS;11/02/2019;01-009068/2019;08/02/2019;30/04/2020;Parcialmente Empenhado
FMS       ;PE 17/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES;R$ 163.709,60;R. João Bettega, 3350 - CIC - Almoxarifado SMS;18/02/2019;01-008094/2019;15/02/2019;29/05/2020;Empenhado
SIT       ;DT 11/2019;Dispensa de Licitação - TCE;Serviços de Tecnologia de Informação e Comunicação (SERVIÇOS BÁSICOS DE TIC - PMC);R$ 197.473.194,00;CONFORME DESCRITO NO PROCESSO;08/03/2019;01-141682/2018;10/03/2019;09/03/2022;Confirmado Vencedor
SME       ;PE 29/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE URBANO DE PASSAGEIROS, NA FORMA DE FRETAMENTO, DESTINADO AOS ESTUDANTES/CRIANÇAS REGULARMENTE MATRICULADAS NA REDE MUNICIPAL DE ENSINO, EM VIRTUDE DA OFERTA DE EDUCAÇÃO INTEGRAL, PELO PERÍODO DE 24 (VINTE E QUATRO) MESES, PARA ATENDER A SECRETARIA MUNICIPAL DA EDUCAÇÃO DE CURITIBA.;R$ 2.782.001,00;Conforme edital;19/03/2019;01-022126/2019;13/05/2019;10/05/2024;Confirmado Vencedor
SEPLAD    ;PE 54/2019;PREGÃO ELETRÔNICO;Contratação de Serviços de Locação de Cabines Sanitárias,  através do sistema de Registro de Preços, pelo período de 12 meses. ;R$ 686.997,50;conforme edital;03/04/2019;01-136839/2018;29/03/2019;05/06/2020;Empenhado
FAAC      ;PE 1/2019;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MATERIAIS DE CONSUMO ( FILME STRECH, SACO PLÁSTICO, BOBINA E ETIQUETA) ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS PELO PERÍODO DE DOZE MESES;R$ 340.794,14;CONFORME RECIBO DE ENTREGAS.;09/04/2019;01-030544/2019;08/04/2019;28/05/2020;Parcialmente Empenhado
FMS       ;PE 39/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE EQUIPAMENTOS COLETORES PARA ESTOMIAS E PRODUTOS ADJUVANTES, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO.;R$ 5.393.716,50;Almoxarifado da SMS- AV. João Bettega, 3350-CIC;17/04/2019;01-025677/2019;15/04/2019;14/06/2020;Parcialmente Empenhado
SEPLAD    ;PE 71/2019;PREGÃO ELETRÔNICO;Contratação de pessoa jurídica especializada na prestação de serviços de agenciamento para fornecimento de passagens aéreas e terrestres, nacionais e internacionais, hospedagens, fretamento de ônibus, locação de veículos e aeronaves e serviços complementares, que pela sua natureza e especificidade, se incluam no âmbito de atuação das agências de viagens, por meio de atendimento remoto (e-mail, telefone e fornecimento do sistema selfbooking).;R$ 1.810.600,00;Conforme recido de entrega;22/04/2019;01-015948/2019;18/12/2019;18/12/2023;Confirmado Vencedor
FMS       ;PE 43/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTA PARA FORNECIMENTO DE EQUIPOS PARA BOMBA DE INFUSÃO (COM FORNECIMENTO EM COMODATO DE 200 (DUZENTAS) BOMBAS DE INFUSÃO), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 252.000,00;Rua João Bettega, 3350 - CIC Almoxarifado SMS.;22/04/2019;01-011244/2019;22/04/2019;31/07/2020;Empenhado
FMS       ;PE 44/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 8.034.050,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;25/04/2019;01-043559/2019;24/04/2019;18/06/2020;Parcialmente Empenhado
FMS       ;PE 45/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 608.640,00;RUA PRIMO LOURENÇO TOSIN, 1021 NOVO MUNDO- CURITIBA-PR;06/05/2019;01-033418/2019;03/05/2019;22/07/2020;Empenhado
SEPLAD    ;PE 114/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA PARA A PRESTAÇÃO DE SERVIÇOS DE INSTALAÇÕES E MANUTENÇÕES PREVENTIVAS E CORRETIVAS, COM FORNECIMENTOS DE MATERIAIS E COMPONENTES, EM REDE TELEFÔNICAS E LÓGICAS PREDIAIS, PARA AS UNIDADES ADMINISTRATIVAS DA PREFEITURA MUNICIPAL DE CURITIBA, PELO SISTEMA DE REGISTRO DE PREÇOS PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.028.229,35;Conforme recibo de emtrega;28/05/2019;01-018595/2019;27/05/2019;01/07/2020;Parcialmente Empenhado
FMS       ;PE 55/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITEM EXCLUSIVO PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO.;R$ 340.000,00;Almoxarifado do Laboratório-rua Primo Lourenço Tosin  nº 1.021;04/06/2019;01-049625/2019;03/06/2019;06/08/2020;Parcialmente Empenhado
FMS       ;PE 58/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA LOCAÇÃO DE EQUIPAMENTOS DE LABORATÓRIO TOTALMENTE AUTOMATIZADOS, COM FORNECIMENTO DE INSUMOS PARA REALIZAÇÃO DE TESTES DE HEMATOLOGIA, COMPREENDENDO A ASSISTÊNCIA TÉCNICA-CIENTÍFICA E MANUTENÇÃO PREVENTIVA E CORRETIVA PARA O LABORATÓRIO MUNICIPAL DE CURITIBA DA SECRETARIA MUNICIPAL DA SAÚDE, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.435.272,72;Rua Primo Lourenço Tosin, nº 1021 - Bairro Novo Mundo - Curitiba-PR;05/06/2019;01-036053/2019;08/07/2019;07/07/2023;Confirmado Vencedor
FMS       ;PE 59/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE DIETAS ENTERAIS E FÓRMULAS INFANTIS ESPECIAIS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 4.707.213,66;R. João Bettega, 3350 - CIC - Almoxarifado SMS;05/06/2019;01-042356/2019;04/06/2019;31/07/2020;Parcialmente Empenhado
FMS       ;PE 63/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 2.936.178,50;Rua João Bettega, 3350 - CIC Almoxarifado SMS.;10/06/2019;01-055105/2019;07/06/2019;03/09/2020;Parcialmente Empenhado
FMS       ;PE 76/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 548.581,80;RUA  JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;28/06/2019;01-063654/2019;27/06/2019;23/08/2020;Parcialmente Empenhado
FMAS      ;PE 22/2019;PREGÃO ELETRÔNICO;Prestação de Serviço para Oferta de Hospedagem/Hotelaria/Pernoite, para Pessoas em Situação de Rua em Uso de Álcool e Drogas, na Região Central do Município de Curitiba, com Fornecimento de Café da Noite e Café da Manhã.;R$ 228.900,00;CONFORME EMPENHO;02/07/2019;01-071747/2019;01/08/2019;21/04/2023;Confirmado Vencedor
FMS       ;PE 79/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE INSUMOS PARA LABORATÓRIO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 97.002,00;Rua Primo Lourenço Tosin, 1021 - Bairro Novo - Laboratório Municipal;03/07/2019;01-052684/2019;03/07/2019;29/08/2020;Parcialmente Empenhado
FMS       ;PE 81/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 193.048,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;04/07/2019;01-072519/2019;03/07/2019;23/08/2020;Parcialmente Empenhado
FMS       ;PE 84/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 7.764.800,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA-PR;11/07/2019;01-073054/2019;09/07/2019;09/09/2020;Parcialmente Empenhado
SME       ;PE 201/2019;PREGÃO ELETRÔNICO;PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR CONTÍNUO, DESTINADO AOS ESTUDANTES REGULARMENTE MATRICULADOS NA REDE ESTADUAL DE ENSINO, NO MUNICÍPIO DE CURITIBA-ACESSO Á ESCOLA ESTADUAL , PELO PERÍODO DE  24 (VINTE E QUATRO) MESES, PARA ATENDER A SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 8.882.704,00;Conforme formulário -proposta;24/07/2019;01-050834/2019;27/08/2019;24/08/2023;Confirmado Vencedor
SME       ;PE 216/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE ESCOLAR CONTÍNUO, ATIVIDADES NORMAIS / ACESSO À ESCOLA PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 9.451.800,00;CONFORME EDITAL;01/08/2019;01-074092/2019;25/09/2019;27/09/2023;Confirmado Vencedor
FMS       ;PE 98/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 943.865,00;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;19/08/2019;01-065280/2019;01/08/2019;05/11/2020;Parcialmente Empenhado
FMS       ;PE 99/2019;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE CONTROLE DE QUALIDADE EXTERNO (ENSAIOS DE PROFICIÊNCIA) EM ANÁLISES CLÍNICAS E CONTROLE INTERNO DE BIOQUÍMICA DO PROGRAMA BÁSICO EM ANÁLISES CLÍNICAS, PARA O LABORATÓRIO MUNICIPAL DE CURITIBA, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 32.400,00;RUA PRIMO LOURENÇO TOSIN, 1021 NOVO MUNDO  CURITIBA-PR;04/09/2019;01-075434/2019;26/09/2019;25/09/2023;Confirmado Vencedor
FMS       ;PE 102/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 785.307,50;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;09/08/2019;01-082654/2019;08/08/2019;10/10/2020;Parcialmente Empenhado
FMS       ;PE 109/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 1.973.076,25;Rua João Bettega, 3350 - CIC - Almoxarifado SMS.;30/08/2019;01-085229/2019;29/08/2019;12/12/2020;Parcialmente Empenhado
FMS       ;PE 114/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAIS DIVERSOS PARA A SECRETARIA MUNICPAL DA SAÚDE, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 800.791,00;R. João Bettega, 3350 - CIC - Almoxarifado SMS;10/09/2019;01-082024/2019;06/09/2019;12/12/2020;Parcialmente Empenhado
FMS       ;PE 125/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI;R$ 6.371.516,00;R. João Bettega, 3350 - CIC - Almoxarifado SMS;20/09/2019;01-101740/2019;19/09/2019;29/11/2020;Parcialmente Empenhado
FMS       ;PE 126/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE CARGAS DE OXIGÊNIO, AR MEDICINAL E OXIDO NITROSO, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI e ITENS PARA AMPLA PARTICIPAÇÃO;R$ 657.465,00;Conforme item 19.19 do Edital de Embasamento;23/09/2019;01-092698/2019;20/09/2019;01/11/2020;Empenhado
FMS       ;PE 127/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL MÉDICO-HOSPITALAR (SONDA E ELETRODOS), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES, COM ITENS EXCLUSIVOS E COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 71.305,00;Rua João Bettega 3350 - CIC - Almoxarifado SMS;23/09/2019;01-088289/2019;23/09/2019;27/11/2020;Empenhado
FMS       ;PE 130/2019;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE DESINFETANTES E DETERGENTE ENZIMÁTICO (COM FORNECIMENTO DE BOMBA DOSADORA ELETRÔNICA EM COMODATO), ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES.;R$ 1.648.800,00;Rua João Bettega, 3350 - CIC - Almoxarifado SMS;26/09/2019;01-098637/2019;25/09/2019;04/12/2020;Parcialmente Empenhado
SMDT      ;PE 306/2019;PREGÃO ELETRÔNICO;Hospedagem / hotelaria para pessoas em situação de rua que fazem uso de álcool e drogas, na região central do Município de Curitiba com fornecimento de jantar e café da manhã.;R$ 2.385.080,00;Dep. de Políticas sobre Drogas - Rua Capitão Souza Franco, 13 - Batel;26/09/2019;01-088667/2019;23/10/2019;15/06/2023;Confirmado Vencedor
